config,smote,model,acc,prec,rec,f1,cm,paper_acc
IQR2.5_split30,False,Voting (hard vote),0.8743,0.8352,0.4812,0.6106,"[[2315, 58], [317, 294]]",0.87
IQR2.5_split30,True,Decision Tree,0.8123,0.5313,0.7087,0.6073,"[[1991, 382], [178, 433]]",0.9
IQR2.5_split30,True,Random Forest,0.8345,0.5798,0.6956,0.6324,"[[2065, 308], [186, 425]]",0.9
IQR2.5_split30,True,SVC,0.7892,0.4905,0.7594,0.596,"[[1891, 482], [147, 464]]",0.9
IQR2.5_split30,True,KNN,0.7456,0.4277,0.7169,0.5358,"[[1787, 586], [173, 438]]",0.9
IQR2.5_split30,True,XGBoost,0.8472,0.622,0.6465,0.634,"[[2133, 240], [216, 395]]",0.9
IQR2.5_split30,True,Voting (hard vote) + SMOTE,0.8321,0.5714,0.7201,0.6372,"[[2043, 330], [171, 440]]",0.9
IQR2.5_split20,False,Decision Tree,0.8513,0.6934,0.4889,0.5735,"[[1495, 88], [208, 199]]",0.87
IQR2.5_split20,False,Random Forest,0.8704,0.8016,0.4865,0.6055,"[[1534, 49], [209, 198]]",0.87
IQR2.5_split20,False,SVC,0.8648,0.8224,0.4324,0.5668,"[[1545, 38], [231, 176]]",0.87
IQR2.5_split20,False,KNN,0.8362,0.668,0.3956,0.4969,"[[1503, 80], [246, 161]]",0.87
IQR2.5_split20,False,XGBoost,0.8663,0.7564,0.5111,0.61,"[[1516, 67], [199, 208]]",0.87
IQR2.5_split20,False,Voting (hard vote),0.8709,0.8099,0.4816,0.604,"[[1537, 46], [211, 196]]",0.87
IQR2.5_split20,True,Decision Tree,0.7879,0.4872,0.7027,0.5755,"[[1282, 301], [121, 286]]",0.9
IQR2.5_split20,True,Random Forest,0.8161,0.5403,0.6757,0.6004,"[[1349, 234], [132, 275]]",0.9
IQR2.5_split20,True,SVC,0.7859,0.485,0.7543,0.5904,"[[1257, 326], [100, 307]]",0.9
IQR2.5_split20,True,KNN,0.7558,0.4395,0.7052,0.5415,"[[1217, 366], [120, 287]]",0.9
IQR2.5_split20,True,XGBoost,0.8417,0.6085,0.6339,0.6209,"[[1417, 166], [149, 258]]",0.9
IQR2.5_split20,True,Voting (hard vote) + SMOTE,0.8121,0.5308,0.6978,0.603,"[[1332, 251], [123, 284]]",0.9
NO_IQR_split20,False,Decision Tree,0.8565,0.7128,0.4939,0.5835,"[[1512, 81], [206, 201]]",0.87
NO_IQR_split20,False,Random Forest,0.8695,0.8202,0.4595,0.589,"[[1552, 41], [220, 187]]",0.87
NO_IQR_split20,False,SVC,0.862,0.8429,0.3956,0.5385,"[[1563, 30], [246, 161]]",0.87
NO_IQR_split20,False,KNN,0.8325,0.6748,0.3415,0.4535,"[[1526, 67], [268, 139]]",0.87
NO_IQR_split20,False,XGBoost,0.8685,0.7857,0.4865,0.6009,"[[1539, 54], [209, 198]]",0.87
NO_IQR_split20,False,Voting (hard vote),0.87,0.8296,0.4545,0.5873,"[[1555, 38], [222, 185]]",0.87
NO_IQR_split20,True,Decision Tree,0.8005,0.5072,0.6929,0.5857,"[[1319, 274], [125, 282]]",0.9
NO_IQR_split20,True,Random Forest,0.831,0.5732,0.6634,0.615,"[[1392, 201], [137, 270]]",0.9
NO_IQR_split20,True,SVC,0.7895,0.4883,0.7199,0.5819,"[[1286, 307], [114, 293]]",0.9
NO_IQR_split20,True,KNN,0.7285,0.4003,0.6708,0.5014,"[[1184, 409], [134, 273]]",0.9
NO_IQR_split20,True,XGBoost,0.8565,0.6554,0.6216,0.6381,"[[1460, 133], [154, 253]]",0.9
NO_IQR_split20,True,Voting (hard vote) + SMOTE,0.8295,0.5676,0.6806,0.619,"[[1382, 211], [130, 277]]",0.9
NO_IQR_split30,False,Decision Tree,0.8603,0.7162,0.5205,0.6028,"[[2263, 126], [293, 318]]",0.87
NO_IQR_split30,False,Random Forest,0.8707,0.8251,0.4632,0.5933,"[[2329, 60], [328, 283]]",0.87
NO_IQR_split30,False,SVC,0.86,0.8351,0.3895,0.5312,"[[2342, 47], [373, 238]]",0.87
NO_IQR_split30,False,KNN,0.8333,0.6687,0.3601,0.4681,"[[2280, 109], [391, 220]]",0.87
NO_IQR_split30,False,XGBoost,0.8677,0.7744,0.4943,0.6034,"[[2301, 88], [309, 302]]",0.87
NO_IQR_split30,False,Voting (hard vote),0.8667,0.8076,0.4534,0.5807,"[[2323, 66], [334, 277]]",0.87
NO_IQR_split30,True,Decision Tree,0.814,0.5334,0.6923,0.6026,"[[2019, 370], [188, 423]]",0.9
NO_IQR_split30,True,Random Forest,0.8433,0.6026,0.6776,0.6379,"[[2116, 273], [197, 414]]",0.9
NO_IQR_split30,True,SVC,0.7983,0.5034,0.73,0.5959,"[[1949, 440], [165, 446]]",0.9
NO_IQR_split30,True,KNN,0.7297,0.4025,0.6759,0.5046,"[[1776, 613], [198, 413]]",0.9
NO_IQR_split30,True,XGBoost,0.8587,0.6649,0.617,0.6401,"[[2199, 190], [234, 377]]",0.9
NO_IQR_split30,True,Voting (hard vote) + SMOTE,0.8383,0.5875,0.6923,0.6356,"[[2092, 297], [188, 423]]",0.9
